Nonwhite,Child,Neighborhood,Response,NumDaysUp,Subject
1,0,MidtownWest,1,8,1
1,1,MurrayHill,0,5,1
0,1,Inwood/WashHts,0,13,1
0,1,Harlem/Morningside,0,26,1
1,1,UpperWestSide,0,26,1
0,1,UpperEastSide,0,34,1
1,1,UpperWestSide,1,2,1
1,1,LowerEastSide,1,6,1
1,0,UpperEastSide,1,19,1
1,0,UpperWestSide,0,5,1
1,1,UpperWestSide,1,5,1
1,1,Harlem/Morningside,1,6,1
1,1,Harlem/Morningside,1,7,1
0,0,EastVillage,1,35,1
0,0,UpperWestSide,1,12,1
1,1,UpperWestSide,0,35,1
0,0,Chelsea,1,8,1
1,0,LowerEastSide,0,16,1
0,0,MidtownEast,0,25,1
0,0,BatteryPark,1,29,1
1,0,UpperEastSide,1,26,1
0,0,UpperWestSide,1,3,1
0,0,MidtownEast,1,36,1
0,0,MidtownWest,1,5,1
0,0,EastVillage,1,8,1
